,chromosome,start,end,GC,AT,N
8125,chr4,176800001,176900000,0.35811,0.64189,0
8126,chr4,176900001,177000000,0.36987,0.63013,0
8127,chr4,177000001,177100000,0.3427,0.6573,0
8128,chr4,177100001,177200000,0.37611,0.62389,0
8129,chr4,177200001,177300000,0.38853,0.61147,0
8130,chr4,177300001,177400000,0.36801,0.63199,0
8131,chr4,177400001,177500000,0.36669,0.63331,0
8132,chr4,177500001,177600000,0.3849,0.6151,0
8133,chr4,177600001,177700000,0.35059,0.64941,0
8134,chr4,177700001,177800000,0.36824,0.63176,0
8135,chr4,177800001,177900000,0.35595,0.64405,0
8136,chr4,177900001,178000000,0.3719,0.6281,0
8137,chr4,178000001,178100000,0.35599,0.64401,0
8138,chr4,178100001,178200000,0.38359,0.61641,0
8139,chr4,178200001,178300000,0.37813,0.62187,0
8140,chr4,178300001,178400000,0.39815,0.60185,0
8141,chr4,178400001,178500000,0.39105,0.60895,0
8142,chr4,178500001,178600000,0.36505,0.63495,0
8143,chr4,178600001,178700000,0.36308,0.63692,0
8144,chr4,178700001,178800000,0.37007,0.62993,0
8145,chr4,178800001,178900000,0.34453,0.65547,0
8146,chr4,178900001,179000000,0.34634,0.65366,0
8147,chr4,179000001,179100000,0.34701,0.65299,0
8148,chr4,179100001,179200000,0.36423,0.63577,0
8149,chr4,179200001,179300000,0.34049,0.65951,0
8150,chr4,179300001,179400000,0.35663,0.64337,0
8151,chr4,179400001,179500000,0.34845,0.65155,0
8152,chr4,179500001,179600000,0.34898,0.65102,0
8153,chr4,179600001,179700000,0.34226,0.65774,0
8154,chr4,179700001,179800000,0.3493,0.6507,0
8155,chr4,179800001,179900000,0.36062,0.63938,0
8156,chr4,179900001,180000000,0.35464,0.64536,0
8157,chr4,180000001,180100000,0.34546,0.65454,0
8158,chr4,180100001,180200000,0.35175,0.64825,0
8159,chr4,180200001,180300000,0.35857,0.64143,0
8160,chr4,180300001,180400000,0.36035,0.63965,0
8161,chr4,180400001,180500000,0.36468,0.63532,0
8162,chr4,180500001,180600000,0.36324,0.63676,0
8163,chr4,180600001,180700000,0.36531,0.63469,0
8164,chr4,180700001,180800000,0.35738,0.64262,0
8165,chr4,180800001,180900000,0.34956,0.65044,0
8166,chr4,180900001,181000000,0.35202,0.64798,0
8167,chr4,181000001,181100000,0.34333,0.65667,0
8168,chr4,181100001,181200000,0.36264,0.63736,0
8169,chr4,181200001,181300000,0.35027,0.64973,0
8170,chr4,181300001,181400000,0.36167,0.63833,0
8171,chr4,181400001,181500000,0.37401,0.62599,0
8172,chr4,181500001,181600000,0.36767,0.63233,0
8173,chr4,181600001,181700000,0.36294,0.63706,0
8174,chr4,181700001,181800000,0.37815,0.62185,0
8175,chr4,181800001,181900000,0.36877,0.63123,0
8176,chr4,181900001,182000000,0.36231,0.63769,0
8177,chr4,182000001,182100000,0.3754,0.6246,0
8178,chr4,182100001,182200000,0.38837,0.61163,0
8179,chr4,182200001,182300000,0.36827,0.63173,0
8180,chr4,182300001,182400000,0.3751,0.6249,0
8181,chr4,182400001,182500000,0.38332,0.61668,0
8182,chr4,182500001,182600000,0.39891,0.60109,0
8183,chr4,182600001,182700000,0.37453,0.62547,0
8184,chr4,182700001,182800000,0.38436,0.61564,0
8185,chr4,182800001,182900000,0.38892,0.61108,0
8186,chr4,182900001,183000000,0.39271,0.60729,0
8187,chr4,183000001,183100000,0.3914,0.6086,0
8188,chr4,183100001,183200000,0.40276,0.59724,0
8189,chr4,183200001,183300000,0.39653,0.60347,0
8190,chr4,183300001,183400000,0.39047,0.60953,0
8191,chr4,183400001,183500000,0.36955,0.63045,0
8192,chr4,183500001,183600000,0.37682,0.62318,0
8193,chr4,183600001,183700000,0.39118,0.60882,0
8194,chr4,183700001,183800000,0.4858,0.5142,0
8195,chr4,183800001,183900000,0.43614,0.56386,0
8196,chr4,183900001,184000000,0.41214,0.58786,0
8197,chr4,184000001,184100000,0.40822,0.59178,0
8198,chr4,184100001,184200000,0.38672,0.61328,0
8199,chr4,184200001,184300000,0.4389,0.5611,0
8200,chr4,184300001,184400000,0.45411,0.54589,0
8201,chr4,184400001,184500000,0.43777,0.56223,0
8202,chr4,184500001,184600000,0.41549,0.58451,0
8203,chr4,184600001,184700000,0.43262,0.56738,0
8204,chr4,184700001,184800000,0.43358,0.56642,0
8205,chr4,184800001,184900000,0.4232,0.5768,0
8206,chr4,184900001,185000000,0.42206,0.57794,0
8207,chr4,185000001,185100000,0.44748,0.55252,0
8208,chr4,185100001,185200000,0.43275,0.56725,0
8209,chr4,185200001,185300000,0.4311,0.5689,0
8210,chr4,185300001,185400000,0.45567,0.54433,0
8211,chr4,185400001,185500000,0.41677,0.58323,0
8212,chr4,185500001,185600000,0.43205,0.56795,0
8213,chr4,185600001,185700000,0.42213,0.57787,0
8214,chr4,185700001,185800000,0.446,0.554,0
8215,chr4,185800001,185900000,0.45105,0.54895,0
8216,chr4,185900001,186000000,0.45015,0.54985,0
8217,chr4,186000001,186100000,0.4158,0.5842,0
8218,chr4,186100001,186200000,0.4211,0.5789,0
8219,chr4,186200001,186300000,0.40873,0.59127,0
8220,chr4,186300001,186400000,0.39826,0.60174,0
8221,chr4,186400001,186500000,0.40831,0.59169,0
8222,chr4,186500001,186600000,0.39788,0.60212,0
8223,chr4,186600001,186700000,0.40476,0.59524,0
8224,chr4,186700001,186800000,0.40649,0.59351,0
8225,chr4,186800001,186900000,0.40657,0.59343,0
8226,chr4,186900001,187000000,0.42444,0.57556,0
8227,chr4,187000001,187100000,0.43828,0.56172,0
8228,chr4,187100001,187200000,0.40754,0.59246,0
8229,chr4,187200001,187300000,0.4175,0.5825,0
8230,chr4,187300001,187400000,0.41816,0.58184,0
8231,chr4,187400001,187500000,0.43529,0.56471,0
8232,chr4,187500001,187600000,0.40789,0.59211,0
8233,chr4,187600001,187700000,0.42328,0.57672,0
8234,chr4,187700001,187800000,0.38727,0.61273,0
8235,chr4,187800001,187900000,0.43105,0.56895,0
8236,chr4,187900001,188000000,0.39487,0.60513,0
8237,chr4,188000001,188100000,0.39353,0.60647,0
8238,chr4,188100001,188200000,0.37879,0.62121,0
8239,chr4,188200001,188300000,0.39043,0.60957,0
8240,chr4,188300001,188400000,0.38684,0.61316,0
8241,chr4,188400001,188500000,0.39101,0.60899,0
8242,chr4,188500001,188600000,0.38374,0.61626,0
8243,chr4,188600001,188700000,0.38633,0.61367,0
8244,chr4,188700001,188800000,0.37913,0.62087,0
8245,chr4,188800001,188900000,0.39946,0.60054,0
8246,chr4,188900001,189000000,0.42841,0.57159,0
8247,chr4,189000001,189100000,0.45189,0.54811,0
8248,chr4,189100001,189200000,0.42555,0.57445,0
8249,chr4,189200001,189300000,0.409,0.591,0
8250,chr4,189300001,189400000,0.40553,0.59447,0
8251,chr4,189400001,189500000,0.38788,0.61212,0
8252,chr4,189500001,189600000,0.38239,0.61761,0
8253,chr4,189600001,189700000,0.38252,0.61748,0
8254,chr4,189700001,189800000,0.36913,0.63087,0
8255,chr4,189800001,189900000,0.38259,0.61741,0
8256,chr4,189900001,190000000,0.38702,0.61298,0
8257,chr4,190000001,190100000,0.38752,0.61248,0
8258,chr4,190300001,190400000,0.40426,0.59574,0
8259,chr5,100001,200000,0.50389,0.49611,0
8260,chr5,200001,300000,0.4907,0.5093,0
8261,chr5,300001,400000,0.52588,0.47412,0
8262,chr5,400001,500000,0.55128,0.44872,0
8263,chr5,500001,600000,0.55498,0.44502,0
8264,chr5,700001,800000,0.50403,0.49597,0
8265,chr5,800001,900000,0.51388,0.48612,0
8266,chr5,900001,1000000,0.49803,0.50197,0
8267,chr5,1000001,1100000,0.60357,0.39643,0
8268,chr5,1100001,1200000,0.57591,0.42409,0
8269,chr5,1200001,1300000,0.58805,0.41195,0
8270,chr5,1400001,1500000,0.54375,0.45625,0
8271,chr5,1500001,1600000,0.51011,0.48989,0
8272,chr5,1600001,1700000,0.50118,0.49882,0
8273,chr5,1700001,1800000,0.51021,0.48979,0
8274,chr5,1800001,1900000,0.54212,0.45788,0
8275,chr5,1900001,2000000,0.47107,0.52893,0
8276,chr5,2000001,2100000,0.45111,0.54889,0
8277,chr5,2200001,2300000,0.45941,0.54059,0
8278,chr5,2300001,2400000,0.45605,0.54395,0
8279,chr5,2500001,2600000,0.45609,0.54391,0
8280,chr5,2600001,2700000,0.45418,0.54582,0
8281,chr5,2700001,2800000,0.45684,0.54316,0
8282,chr5,2800001,2900000,0.44497,0.55503,0
8283,chr5,2900001,3000000,0.41217,0.58783,0
8284,chr5,3000001,3100000,0.45082,0.54918,0
8285,chr5,3100001,3200000,0.43723,0.56277,0
8286,chr5,3200001,3300000,0.46122,0.53878,0
8287,chr5,3400001,3500000,0.41175,0.58825,0
8288,chr5,3500001,3600000,0.44671,0.55329,0
8289,chr5,3600001,3700000,0.46493,0.53507,0
8290,chr5,3700001,3800000,0.43131,0.56869,0
8291,chr5,3800001,3900000,0.42227,0.57773,0
8292,chr5,3900001,4000000,0.40498,0.59502,0
8293,chr5,4000001,4100000,0.42007,0.57993,0
8294,chr5,4100001,4200000,0.40538,0.59462,0
8295,chr5,4200001,4300000,0.41813,0.58187,0
8296,chr5,4300001,4400000,0.38795,0.61205,0
8297,chr5,4400001,4500000,0.38524,0.61476,0
8298,chr5,4500001,4600000,0.39964,0.60036,0
8299,chr5,4600001,4700000,0.39654,0.60346,0
8300,chr5,4700001,4800000,0.37376,0.62624,0
8301,chr5,4800001,4900000,0.39939,0.60061,0
8302,chr5,4900001,5000000,0.41281,0.58719,0
8303,chr5,5000001,5100000,0.40615,0.59385,0
8304,chr5,5100001,5200000,0.41266,0.58734,0
8305,chr5,5200001,5300000,0.41654,0.58346,0
8306,chr5,5300001,5400000,0.46087,0.53913,0
8307,chr5,5400001,5500000,0.40457,0.59543,0
8308,chr5,5500001,5600000,0.43963,0.56037,0
8309,chr5,5600001,5700000,0.41826,0.58174,0
8310,chr5,5700001,5800000,0.41497,0.58503,0
8311,chr5,5800001,5900000,0.41042,0.58958,0
8312,chr5,5900001,6000000,0.41089,0.58911,0
8313,chr5,6000001,6100000,0.41769,0.58231,0
8314,chr5,6100001,6200000,0.429,0.571,0
8315,chr5,6200001,6300000,0.42765,0.57235,0
8316,chr5,6300001,6400000,0.46386,0.53614,0
8317,chr5,6400001,6500000,0.45932,0.54068,0
8318,chr5,6500001,6600000,0.4655,0.5345,0
8319,chr5,6600001,6700000,0.42916,0.57084,0
8320,chr5,6700001,6800000,0.48252,0.51748,0
8321,chr5,6800001,6900000,0.4328,0.5672,0
8322,chr5,7000001,7100000,0.40462,0.59538,0
8323,chr5,7100001,7200000,0.39246,0.60754,0
8324,chr5,7200001,7300000,0.40319,0.59681,0
8325,chr5,7300001,7400000,0.41623,0.58377,0
8326,chr5,7400001,7500000,0.3982,0.6018,0
8327,chr5,7500001,7600000,0.3979,0.6021,0
8328,chr5,7600001,7700000,0.41429,0.58571,0
8329,chr5,7700001,7800000,0.41144,0.58856,0
8330,chr5,7800001,7900000,0.42585,0.57415,0
8331,chr5,7900001,8000000,0.39326,0.60674,0
8332,chr5,8000001,8100000,0.39606,0.60394,0
8333,chr5,8100001,8200000,0.37602,0.62398,0
8334,chr5,8200001,8300000,0.39849,0.60151,0
8335,chr5,8300001,8400000,0.38956,0.61044,0
8336,chr5,8400001,8500000,0.39051,0.60949,0
8337,chr5,8500001,8600000,0.38524,0.61476,0
8338,chr5,8600001,8700000,0.37133,0.62867,0
8339,chr5,8700001,8800000,0.38747,0.61253,0
8340,chr5,8800001,8900000,0.38168,0.61832,0
8341,chr5,8900001,9000000,0.37526,0.62474,0
8342,chr5,9000001,9100000,0.40292,0.59708,0
8343,chr5,9100001,9200000,0.40733,0.59267,0
8344,chr5,9200001,9300000,0.39637,0.60363,0
8345,chr5,9300001,9400000,0.393,0.607,0
8346,chr5,9400001,9500000,0.4022,0.5978,0
8347,chr5,9500001,9600000,0.41346,0.58654,0
8348,chr5,9600001,9700000,0.38845,0.61155,0
8349,chr5,9700001,9800000,0.41297,0.58703,0
8350,chr5,9800001,9900000,0.41092,0.58908,0
8351,chr5,9900001,10000000,0.41603,0.58397,0
8352,chr5,10000001,10100000,0.41362,0.58638,0
8353,chr5,10100001,10200000,0.43929,0.56071,0
8354,chr5,10200001,10300000,0.43922,0.56078,0
8355,chr5,10300001,10400000,0.41987,0.58013,0
8356,chr5,10400001,10500000,0.45142,0.54858,0
8357,chr5,10500001,10600000,0.47188,0.52812,0
8358,chr5,10600001,10700000,0.48246,0.51754,0
8359,chr5,10700001,10800000,0.44818,0.55182,0
8360,chr5,10800001,10900000,0.42254,0.57746,0
8361,chr5,10900001,11000000,0.42266,0.57734,0
8362,chr5,11000001,11100000,0.40687,0.59313,0
8363,chr5,11100001,11200000,0.41652,0.58348,0
8364,chr5,11200001,11300000,0.40502,0.59498,0
8365,chr5,11300001,11400000,0.40676,0.59324,0
8366,chr5,11400001,11500000,0.38334,0.61666,0
8367,chr5,11500001,11600000,0.38362,0.61638,0
8368,chr5,11600001,11700000,0.37479,0.62521,0
8369,chr5,11700001,11800000,0.3791,0.6209,0
8370,chr5,11800001,11900000,0.37672,0.62328,0
8371,chr5,11900001,12000000,0.37014,0.62986,0
8372,chr5,12000001,12100000,0.36726,0.63274,0
8373,chr5,12100001,12200000,0.35837,0.64163,0
8374,chr5,12200001,12300000,0.35138,0.64862,0
8375,chr5,12300001,12400000,0.35675,0.64325,0
8376,chr5,12400001,12500000,0.36011,0.63989,0
8377,chr5,12500001,12600000,0.35696,0.64304,0
8378,chr5,12600001,12700000,0.35835,0.64165,0
8379,chr5,12700001,12800000,0.34812,0.65188,0
8380,chr5,12800001,12900000,0.34928,0.65072,0
8381,chr5,12900001,13000000,0.35451,0.64549,0
8382,chr5,13000001,13100000,0.34773,0.65227,0
8383,chr5,13100001,13200000,0.36143,0.63857,0
8384,chr5,13200001,13300000,0.36586,0.63414,0
8385,chr5,13300001,13400000,0.3721,0.6279,0
8386,chr5,13400001,13500000,0.39163,0.60837,0
8387,chr5,13500001,13600000,0.39143,0.60857,0
8388,chr5,13600001,13700000,0.39305,0.60695,0
8389,chr5,13700001,13800000,0.38918,0.61082,0
8390,chr5,13800001,13900000,0.39102,0.60898,0
8391,chr5,13900001,14000000,0.40623,0.59377,0
8392,chr5,14000001,14100000,0.42774,0.57226,0
8393,chr5,14100001,14200000,0.43587,0.56413,0
8394,chr5,14200001,14300000,0.41448,0.58552,0
8395,chr5,14300001,14400000,0.42895,0.57105,0
8396,chr5,14400001,14500000,0.45046,0.54954,0
8397,chr5,14500001,14600000,0.44763,0.55237,0
8398,chr5,14700001,14800000,0.45159,0.54841,0
8399,chr5,14800001,14900000,0.43238,0.56762,0
8400,chr5,14900001,15000000,0.41933,0.58067,0
8401,chr5,15000001,15100000,0.40813,0.59187,0
8402,chr5,15100001,15200000,0.38234,0.61766,0
8403,chr5,15200001,15300000,0.38297,0.61703,0
8404,chr5,15300001,15400000,0.38986,0.61014,0
8405,chr5,15400001,15500000,0.37881,0.62119,0
8406,chr5,15500001,15600000,0.40706,0.59294,0
8407,chr5,15600001,15700000,0.3944,0.6056,0
8408,chr5,15700001,15800000,0.39013,0.60987,0
8409,chr5,15800001,15900000,0.39594,0.60406,0
8410,chr5,15900001,16000000,0.3947,0.6053,0
8411,chr5,16000001,16100000,0.4004,0.5996,0
8412,chr5,16100001,16200000,0.40221,0.59779,0
8413,chr5,16200001,16300000,0.3894,0.6106,0
8414,chr5,16400001,16500000,0.40886,0.59114,0
8415,chr5,16500001,16600000,0.43011,0.56989,0
8416,chr5,16600001,16700000,0.44473,0.55527,0
8417,chr5,16700001,16800000,0.43587,0.56413,0
8418,chr5,16800001,16900000,0.44045,0.55955,0
8419,chr5,16900001,17000000,0.4522,0.5478,0
8420,chr5,17000001,17100000,0.43973,0.56027,0
8421,chr5,17100001,17200000,0.43739,0.56261,0
8422,chr5,17200001,17300000,0.42034,0.57966,0
8423,chr5,17300001,17400000,0.42385,0.57615,0
8424,chr5,17400001,17500000,0.40105,0.59895,0
8425,chr5,17700001,17800000,0.38615,0.61385,0
8426,chr5,17800001,17900000,0.36317,0.63683,0
8427,chr5,17900001,18000000,0.36104,0.63896,0
8428,chr5,18000001,18100000,0.35916,0.64084,0
8429,chr5,18100001,18200000,0.36124,0.63876,0
8430,chr5,18200001,18300000,0.36351,0.63649,0
8431,chr5,18300001,18400000,0.36879,0.63121,0
8432,chr5,18400001,18500000,0.35009,0.64991,0
8433,chr5,18500001,18600000,0.37216,0.62784,0
8434,chr5,18600001,18700000,0.35288,0.64712,0
8435,chr5,18700001,18800000,0.35626,0.64374,0
8436,chr5,18800001,18900000,0.34382,0.65618,0
8437,chr5,18900001,19000000,0.33606,0.66394,0
8438,chr5,19000001,19100000,0.35248,0.64752,0
8439,chr5,19100001,19200000,0.34315,0.65685,0
8440,chr5,19200001,19300000,0.36365,0.63635,0
8441,chr5,19300001,19400000,0.35225,0.64775,0
8442,chr5,19400001,19500000,0.34524,0.65476,0
8443,chr5,19500001,19600000,0.3492,0.6508,0
8444,chr5,19600001,19700000,0.3395,0.6605,0
8445,chr5,19700001,19800000,0.35938,0.64062,0
8446,chr5,19800001,19900000,0.35274,0.64726,0
8447,chr5,19900001,20000000,0.33961,0.66039,0
8448,chr5,20000001,20100000,0.3445,0.6555,0
8449,chr5,20100001,20200000,0.35426,0.64574,0
8450,chr5,20200001,20300000,0.34176,0.65824,0
8451,chr5,20300001,20400000,0.36366,0.63634,0
8452,chr5,20400001,20500000,0.3455,0.6545,0
8453,chr5,20500001,20600000,0.34661,0.65339,0
8454,chr5,20600001,20700000,0.36066,0.63934,0
8455,chr5,20700001,20800000,0.35296,0.64704,0
8456,chr5,20800001,20900000,0.35321,0.64679,0
8457,chr5,20900001,21000000,0.35191,0.64809,0
8458,chr5,21000001,21100000,0.35248,0.64752,0
8459,chr5,21100001,21200000,0.35488,0.64512,0
8460,chr5,21200001,21300000,0.35605,0.64395,0
8461,chr5,21300001,21400000,0.35072,0.64928,0
8462,chr5,21600001,21700000,0.3555,0.6445,0
8463,chr5,21700001,21800000,0.34079,0.65921,0
8464,chr5,21800001,21900000,0.35218,0.64782,0
8465,chr5,21900001,22000000,0.35211,0.64789,0
8466,chr5,22000001,22100000,0.36864,0.63136,0
8467,chr5,22100001,22200000,0.36028,0.63972,0
8468,chr5,22200001,22300000,0.3407,0.6593,0
8469,chr5,22300001,22400000,0.358,0.642,0
8470,chr5,22400001,22500000,0.35136,0.64864,0
8471,chr5,22500001,22600000,0.35248,0.64752,0
8472,chr5,22600001,22700000,0.35528,0.64472,0
8473,chr5,22700001,22800000,0.34297,0.65703,0
8474,chr5,22800001,22900000,0.35147,0.64853,0
8475,chr5,22900001,23000000,0.35908,0.64092,0
8476,chr5,23000001,23100000,0.35835,0.64165,0
8477,chr5,23100001,23200000,0.35945,0.64055,0
8478,chr5,23200001,23300000,0.35556,0.64444,0
8479,chr5,23300001,23400000,0.34813,0.65187,0
8480,chr5,23400001,23500000,0.3568,0.6432,0
8481,chr5,23500001,23600000,0.3563,0.6437,0
8482,chr5,23600001,23700000,0.36058,0.63942,0
8483,chr5,23700001,23800000,0.34331,0.65669,0
8484,chr5,23800001,23900000,0.35855,0.64145,0
8485,chr5,23900001,24000000,0.3474,0.6526,0
8486,chr5,24000001,24100000,0.35325,0.64675,0
8487,chr5,24100001,24200000,0.34388,0.65612,0
8488,chr5,24200001,24300000,0.35077,0.64923,0
8489,chr5,24300001,24400000,0.37315,0.62685,0
8490,chr5,24400001,24500000,0.34744,0.65256,0
8491,chr5,24500001,24600000,0.34023,0.65977,0
8492,chr5,24600001,24700000,0.35805,0.64195,0
8493,chr5,24700001,24800000,0.35017,0.64983,0
8494,chr5,24800001,24900000,0.35323,0.64677,0
8495,chr5,24900001,25000000,0.33952,0.66048,0
8496,chr5,25000001,25100000,0.35212,0.64788,0
8497,chr5,25100001,25200000,0.35904,0.64096,0
8498,chr5,25200001,25300000,0.34085,0.65915,0
8499,chr5,25400001,25500000,0.33798,0.66202,0
8500,chr5,25500001,25600000,0.3416,0.6584,0
8501,chr5,25600001,25700000,0.35161,0.64839,0
8502,chr5,25700001,25800000,0.34437,0.65563,0
8503,chr5,25800001,25900000,0.36066,0.63934,0
8504,chr5,25900001,26000000,0.34511,0.65489,0
8505,chr5,26000001,26100000,0.34273,0.65727,0
8506,chr5,26100001,26200000,0.33854,0.66146,0
8507,chr5,26200001,26300000,0.37422,0.62578,0
8508,chr5,26300001,26400000,0.35375,0.64625,0
8509,chr5,26400001,26500000,0.37272,0.62728,0
8510,chr5,26500001,26600000,0.33999,0.66001,0
8511,chr5,26600001,26700000,0.34771,0.65229,0
8512,chr5,26700001,26800000,0.33983,0.66017,0
8513,chr5,26800001,26900000,0.34461,0.65539,0
8514,chr5,26900001,27000000,0.33905,0.66095,0
8515,chr5,27000001,27100000,0.34271,0.65729,0
8516,chr5,27100001,27200000,0.34851,0.65149,0
8517,chr5,27200001,27300000,0.35057,0.64943,0
8518,chr5,27300001,27400000,0.33845,0.66155,0
8519,chr5,27400001,27500000,0.34197,0.65803,0
8520,chr5,27500001,27600000,0.34481,0.65519,0
8521,chr5,27600001,27700000,0.35004,0.64996,0
8522,chr5,27700001,27800000,0.34558,0.65442,0
8523,chr5,27800001,27900000,0.34576,0.65424,0
8524,chr5,27900001,28000000,0.34007,0.65993,0
8525,chr5,28000001,28100000,0.35802,0.64198,0
8526,chr5,28100001,28200000,0.34327,0.65673,0
8527,chr5,28200001,28300000,0.34462,0.65538,0
8528,chr5,28300001,28400000,0.33939,0.66061,0
8529,chr5,28400001,28500000,0.3581,0.6419,0
8530,chr5,28500001,28600000,0.35541,0.64459,0
8531,chr5,28600001,28700000,0.33157,0.66843,0
8532,chr5,28700001,28800000,0.34199,0.65801,0
8533,chr5,28800001,28900000,0.36078,0.63922,0
8534,chr5,28900001,29000000,0.35615,0.64385,0
8535,chr5,29000001,29100000,0.35091,0.64909,0
8536,chr5,29100001,29200000,0.35252,0.64748,0
8537,chr5,29200001,29300000,0.34343,0.65657,0
8538,chr5,29300001,29400000,0.33763,0.66237,0
8539,chr5,29400001,29500000,0.34874,0.65126,0
8540,chr5,29500001,29600000,0.35011,0.64989,0
8541,chr5,29600001,29700000,0.34276,0.65724,0
8542,chr5,29700001,29800000,0.33931,0.66069,0
8543,chr5,29800001,29900000,0.34382,0.65618,0
8544,chr5,29900001,30000000,0.35621,0.64379,0
8545,chr5,30000001,30100000,0.34815,0.65185,0
8546,chr5,30100001,30200000,0.34782,0.65218,0
8547,chr5,30200001,30300000,0.36332,0.63668,0
8548,chr5,30300001,30400000,0.34497,0.65503,0
8549,chr5,30400001,30500000,0.36198,0.63802,0
8550,chr5,30500001,30600000,0.35024,0.64976,0
8551,chr5,30600001,30700000,0.34753,0.65247,0
8552,chr5,30700001,30800000,0.35655,0.64345,0
8553,chr5,30800001,30900000,0.37149,0.62851,0
8554,chr5,30900001,31000000,0.37096,0.62904,0
8555,chr5,31000001,31100000,0.37561,0.62439,0
8556,chr5,31100001,31200000,0.38648,0.61352,0
8557,chr5,31200001,31300000,0.38344,0.61656,0
8558,chr5,31300001,31400000,0.40852,0.59148,0
8559,chr5,31400001,31500000,0.39068,0.60932,0
8560,chr5,31500001,31600000,0.41313,0.58687,0
8561,chr5,31600001,31700000,0.45671,0.54329,0
8562,chr5,31700001,31800000,0.46085,0.53915,0
8563,chr5,31800001,31900000,0.44873,0.55127,0
8564,chr5,31900001,32000000,0.44537,0.55463,0
8565,chr5,32000001,32100000,0.45635,0.54365,0
8566,chr5,32100001,32200000,0.4219,0.5781,0
8567,chr5,32200001,32300000,0.44786,0.55214,0
8568,chr5,32400001,32500000,0.42307,0.57693,0
8569,chr5,32500001,32600000,0.43948,0.56052,0
8570,chr5,32600001,32700000,0.4261,0.5739,0
8571,chr5,32700001,32800000,0.414,0.586,0
8572,chr5,32800001,32900000,0.39172,0.60828,0
8573,chr5,32900001,33000000,0.38551,0.61449,0
8574,chr5,33000001,33100000,0.37993,0.62007,0
8575,chr5,33100001,33200000,0.3744,0.6256,0
8576,chr5,33200001,33300000,0.37644,0.62356,0
8577,chr5,33300001,33400000,0.38886,0.61114,0
8578,chr5,33400001,33500000,0.39817,0.60183,0
8579,chr5,33500001,33600000,0.42717,0.57283,0
8580,chr5,33600001,33700000,0.39703,0.60297,0
8581,chr5,33700001,33800000,0.40061,0.59939,0
8582,chr5,33800001,33900000,0.40369,0.59631,0
8583,chr5,33900001,34000000,0.41446,0.58554,0
8584,chr5,34000001,34100000,0.3899,0.6101,0
8585,chr5,34300001,34400000,0.36278,0.63722,0
8586,chr5,34400001,34500000,0.41745,0.58255,0
8587,chr5,34500001,34600000,0.42989,0.57011,0
8588,chr5,34600001,34700000,0.42808,0.57192,0
8589,chr5,34700001,34800000,0.42249,0.57751,0
8590,chr5,34800001,34900000,0.40107,0.59893,0
8591,chr5,34900001,35000000,0.40029,0.59971,0
8592,chr5,35000001,35100000,0.41449,0.58551,0
8593,chr5,35100001,35200000,0.41168,0.58832,0
8594,chr5,35200001,35300000,0.38874,0.61126,0
8595,chr5,35300001,35400000,0.39098,0.60902,0
8596,chr5,35400001,35500000,0.38215,0.61785,0
8597,chr5,35500001,35600000,0.37891,0.62109,0
8598,chr5,35600001,35700000,0.37157,0.62843,0
8599,chr5,35700001,35800000,0.37773,0.62227,0
8600,chr5,35800001,35900000,0.39727,0.60273,0
8601,chr5,35900001,36000000,0.41087,0.58913,0
8602,chr5,36000001,36100000,0.40706,0.59294,0
8603,chr5,36100001,36200000,0.37234,0.62766,0
8604,chr5,36200001,36300000,0.36851,0.63149,0
8605,chr5,36300001,36400000,0.39896,0.60104,0
8606,chr5,36400001,36500000,0.406,0.594,0
8607,chr5,36500001,36600000,0.39742,0.60258,0
8608,chr5,36600001,36700000,0.40845,0.59155,0
8609,chr5,36700001,36800000,0.41956,0.58044,0
8610,chr5,36800001,36900000,0.36614,0.63386,0
8611,chr5,36900001,37000000,0.34239,0.65761,0
8612,chr5,37000001,37100000,0.37164,0.62836,0
8613,chr5,37100001,37200000,0.38816,0.61184,0
8614,chr5,37200001,37300000,0.41104,0.58896,0
8615,chr5,37300001,37400000,0.42293,0.57707,0
8616,chr5,37400001,37500000,0.40268,0.59732,0
8617,chr5,37500001,37600000,0.38467,0.61533,0
8618,chr5,37600001,37700000,0.382,0.618,0
8619,chr5,37700001,37800000,0.3963,0.6037,0
8620,chr5,37800001,37900000,0.44158,0.55842,0
8621,chr5,37900001,38000000,0.40671,0.59329,0
8622,chr5,38000001,38100000,0.39822,0.60178,0
8623,chr5,38100001,38200000,0.41751,0.58249,0
8624,chr5,38200001,38300000,0.40545,0.59455,0
8625,chr5,38300001,38400000,0.4228,0.5772,0
8626,chr5,38400001,38500000,0.43476,0.56524,0
8627,chr5,38500001,38600000,0.39529,0.60471,0
8628,chr5,38600001,38700000,0.41572,0.58428,0
8629,chr5,38700001,38800000,0.41477,0.58523,0
8630,chr5,38800001,38900000,0.41075,0.58925,0
8631,chr5,38900001,39000000,0.36539,0.63461,0
8632,chr5,39000001,39100000,0.37116,0.62884,0
8633,chr5,39100001,39200000,0.37078,0.62922,0
8634,chr5,39200001,39300000,0.38301,0.61699,0
8635,chr5,39300001,39400000,0.38931,0.61069,0
8636,chr5,39400001,39500000,0.38093,0.61907,0
8637,chr5,39500001,39600000,0.38337,0.61663,0
8638,chr5,39600001,39700000,0.38093,0.61907,0
8639,chr5,39700001,39800000,0.36469,0.63531,0
8640,chr5,39800001,39900000,0.35701,0.64299,0
8641,chr5,39900001,40000000,0.36594,0.63406,0
8642,chr5,40000001,40100000,0.36004,0.63996,0
8643,chr5,40100001,40200000,0.37449,0.62551,0
